SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
BHARTIARTL,EQ,04-Mar-2026,1873.2,1861.1,1920.0,1815.3,1908.5,1905.9,1878.13,20565585,386248.52,425053, 13963593, 67.90
CIPLA,EQ,04-Mar-2026,1351.6,1348.2,1348.9,1311.0,1313.0,1313.2,1324.42,1938762,25677.33,94697, 1200259, 61.91
COALINDIA,EQ,04-Mar-2026,426.25,426.0,437.9,426.0,434.15,435.15,434.7,18921256,82249.96,295289, 7728254, 40.84
DRREDDY,EQ,04-Mar-2026,1294.4,1274.4,1299.2,1272.1,1291.3,1291.2,1286.56,1890939,24327.99,78401, 1220486, 64.54
EICHERMOT,EQ,04-Mar-2026,7826.0,7700.0,7705.0,7571.5,7640.0,7626.5,7629.88,593728,45300.73,93644, 359160, 60.49
ETERNAL,EQ,04-Mar-2026,242.87,237.0,244.0,236.36,240.5,240.73,239.92,48878958,117270.11,323365, 26874506, 54.98
GRASIM,EQ,04-Mar-2026,2777.3,2727.0,2742.2,2645.0,2674.0,2683.2,2679.97,928520,24884.01,58489, 531485, 57.24
HCLTECH,EQ,04-Mar-2026,1371.0,1356.0,1382.0,1356.0,1364.0,1364.0,1367.86,3161598,43246.11,151012, 1880428, 59.48
HDFCBANK,EQ,04-Mar-2026,879.4,848.0,879.3,848.0,869.0,868.65,866.0,39862322,345208.91,456224, 22363360, 56.10
HDFCLIFE,EQ,04-Mar-2026,707.3,691.4,707.1,681.9,683.0,684.6,692.46,5964323,41300.64,110983, 3790726, 63.56
HINDALCO,EQ,04-Mar-2026,940.0,928.0,945.5,912.0,922.5,921.8,923.93,7575786,69994.99,191248, 4018130, 53.04
HINDUNILVR,EQ,04-Mar-2026,2320.6,2292.9,2311.6,2252.1,2260.0,2261.3,2284.98,2648737,60523.1,139227, 1734781, 65.49
ICICIBANK,EQ,04-Mar-2026,1374.0,1326.0,1376.0,1326.0,1368.5,1365.4,1355.31,20009132,271185.33,502432, 12565957, 62.80
INDIGO,EQ,04-Mar-2026,4520.4,4409.5,4431.0,4293.0,4386.1,4392.9,4349.96,2807222,122113.02,185649, 1397482, 49.78
